winner,turns,win_rate
AI,29,1.0
Human,21,0.5
Human,130,0.3333333333333333
Human,33,0.25
AI,69,0.4
Human,23,0.3333333333333333
Human,60,0.2857142857142857
Human,19,0.25
AI,37,0.3333333333333333
Human,19,0.3
AI,65,0.36363636363636365
AI,22,0.4166666666666667
Human,22,0.38461538461538464
Human,29,0.35714285714285715
AI,25,0.4
AI,30,0.4375
AI,21,0.47058823529411764
Human,21,0.4444444444444444
Human,34,0.42105263157894735
Human,35,0.4
AI,45,0.42857142857142855
AI,96,0.45454545454545453
AI,37,0.4782608695652174
Human,13,0.4583333333333333
Human,98,0.44
Human,45,0.4230769230769231
AI,17,0.4444444444444444
AI,24,0.4642857142857143
AI,35,0.4827586206896552
Human,25,0.4666666666666667
AI,25,0.4838709677419355
Human,13,0.46875
Human,40,0.45454545454545453
AI,52,0.47058823529411764
AI,61,0.4857142857142857
AI,26,0.5
Human,26,0.4864864864864865
AI,102,0.5
AI,13,0.5128205128205128
AI,44,0.525
AI,39,0.5365853658536586
Human,31,0.5238095238095238
AI,43,0.5348837209302325
AI,36,0.5454545454545454
AI,39,0.5555555555555556
Human,19,0.5434782608695652
Human,28,0.5319148936170213
AI,32,0.5416666666666666
Human,20,0.5306122448979592
AI,132,0.54
